회사명	종목코드
에스제이케이	080440
삼호개발	010960
금호타이어	073240
이노와이어리스	073490
인베니아	079950
동양이엔피	079960
제주반도체	080220
한창산업	079170
디이엔티	079810
에스엔유	080000
iMBC	052220
서산	079650
KMH하이텍	052900
손오공	066910
미래컴퍼니	049950
아이크래프트	052460
CJ CGV	079160
일진다이아	081000
메가스터디	072870
케이에스피	073010
KG모빌리언스	046440
대주전자재료	078600
텔레칩스	054450
HB테크놀러지	078150
도이치모터스	067990
유니드	014830
토비스	051360
제넨바이오	072520
상신브레이크	041650
국일제지	078130
DMS	068790
인팩	023810
코드네이처	078940
시너지이노베이션	048870
신성델타테크	065350
GS	078930
유니퀘스트	077500
다스코	058730
한국경제TV	039340
LG디스플레이	034220
다날	064260
텔코웨어	078000
형지I&C	011080
휘닉스소재	050090
코엔텍	029960
YBM넷	057030
CS	065770
아미노로직스	074430
테라젠이텍스	066700
디에이피	066900
한양디지텍	078350
STX엔진	077970
동국알앤에스	075970
라이트론	069540
듀오백	073190
삼진엘앤디	054090
에스텍파마	041910
NICE	034310
대교	019680
스포츠서울	039670
세진티에스	067770
한솔인티큐브	070590
WI	073570
테라사이언스	073640
우주일렉트로	065680
피에이치씨	057880
기업은행	024110
이엔플러스	074610
드림어스컴퍼니	060570
버킷스튜디오	066410
아프리카TV	067160
원익QnC	074600
로체시스템즈	071280
에스텍	069510
오텍	067170
키이스트	054780
현대에버다임	041440
한솔홈데코	025750
중앙백신	072020
휴비츠	065510
우리산업홀딩스	072470
디지털대성	068930
코스온	069110
이수페타시스	007660
강원랜드	035250
유아이디	069330
티씨케이	064760
YG PLUS	037270
아모텍	052710
농심홀딩스	072710
웰크론	065950
파워로직스	047310
한국금융지주	071050
COWON	056000
이라이콤	041520
녹원씨엔아이	065560
유엔젤	072130
SBS	034120
홈캐스트	064240
씨씨에스	066790
웹젠	069080
엔씨소프트	036570
하이스틸	071090
대화제약	067080
우수AMS	066590
JW신약	067290
하츠	066130
SBS콘텐츠허브	046140
빅텍	065450
탑엔지니어링	065130
DSR제강	069730
이루온	065440
태경케미컬	006890
재영솔루텍	049630
한국큐빅	021650
인터플렉스	051370
메디프론	065650
삼영이엔씨	065570
이엔코퍼레이션	066980
리더스코스메틱	016100
한농화성	011500
케이피엠테크	042040
엘앤에프	066970
디스플레이텍	066670
와이오엠	066430
초록뱀미디어	047820
에프앤리퍼블릭	064090
쎌바이오텍	049960
NE능률	053290
바른전자	064520
현대백화점	069960
KG이니시스	035600
넥스트BT	065170
대호에이엘	069460
파라다이스	034230
대웅제약	069620
젬백스지오	041590
마니커	027740
SNT홀딩스	036530
휴켐스	069260
새로닉스	042600
세종공업	033530
오리엔트정공	065500
대한그린파워	060900
국보디자인	066620
아이톡시	052770
에스아이리소스	065420
젬백스링크	064800
포스코강판	058430
리노스	039980
현대바이오	048410
삼성출판사	068290
세이브존I&C	067830
에스피지	058610
토탈소프트	045340
교보증권	030610
서호전기	065710
파커스	065690
한샘	009240
한프	066110
서울리거	043710
홈센타홀딩스	060560
아비코전자	036010
큐렉소	060280
이그잭스	060230
우원개발	046940
티사이언티픽	057680
신세계건설	034300
인선이엔티	060150
와이어블	065530
SM Life Design	063440
우신시스템	017370
지어소프트	051160
지엔코	065060
셀루메드	049180
KH바텍	060720
알에프텍	061040
에스폴리텍	050760
이랜텍	054210
ES큐브	050120
케이피티유	054410
3S	060310
LG전자	066570
화일약품	061250
오상자이엘	053980
한국콜마홀딩스	024720
농우바이오	054050
케이엘넷	039420
SNT모티브	064960
에스티아이	039440
잉크테크	049550
대한뉴팜	054670
씨티씨바이오	060590
인탑스	049070
KT서브마린	060370
피씨디렉트	051380
현진소재	053660
광주신세계	037710
구영테크	053270
한국기업평가	034950
뉴보텍	060260
동양에스텍	060380
백금T&A	046310
슈펙스비앤피	058530
고려신용정보	049720
제일바이오	052670
서울반도체	046890
아가방컴퍼니	013990
일야	058450
미코	059090
아래스	050320
유신	054930
프럼파스트	035200
한국컴퓨터	054040
대동스틸	048470
레드로버	060300
링네트	042500
제이웨이	058420
큐로컴	040350
팬스타엔터프라이즈	054300
한빛소프트	047080
일진디스플	020760
NHN한국사이버결제	060250
CNT85	056730
금강철강	053260
룽투코리아	060240
KH 필룩스	033180
동아화성	041930
비츠로시스	054220
오리엔탈정공	014940
크로바하이텍	043590
리노공업	058470
성우테크론	045300
에스에프에이	056190
신화인터텍	056700
엑사이엔씨	054940
피에이치에이	043370
종근당바이오	063160
APS홀딩스	054620
코위버	056360
성호전자	043260
UCI	038340
YW	051390
삼영엠텍	054540
이니텍	053350
에이디칩스	054630
유진로봇	056080
태웅	044490
경남제약	053950
삼보모터스	053700
한컴위드	054920
코미팜	041960
프리엠스	053160
코나아이	052400
메디콕스	054180
SGA	049470
지에스이	053050
큐브앤컴퍼니	043090
소리바다	053110
아이디스홀딩스	054800
코데즈컴바인	047770
안랩	053800
신한지주	055550
YTN	040300
CMG제약	058820
JYP Ent.	035900
한국테크놀로지	053590
KCC건설	021320
세동	053060
프로텍	053610
액토즈소프트	052790
세코닉스	053450
바이넥스	053030
오성첨단소재	052420
코웨이	021240
태양	053620
유아이엘	049520
초록뱀컴퍼니	052300
대원미디어	048910
중앙디앤엠	051980
세아홀딩스	058650
CJ프레시웨이	051500
파인디앤씨	049120
디지아이	043360
코텍	052330
한네트	052600
에스티큐브	052020
에이치엘비파워	043220
스카이문스테크놀로지	033790
큐로홀딩스	051780
세영디앤씨	052190
나라엠앤디	051490
에코바이오	038870
에이텍	045660
대아티아이	045390
캠시스	050110
현대바이오랜드	052260
SFA반도체	036540
LG생활건강	051900
LG화학	051910
대우건설	047040
포스코인터내셔널	047050
대우조선해양	042660
두산인프라코어	042670
삼표시멘트	038500
진양화학	051630
SM C&C	048550
승일	049830
조광ILI	044060
피에스엠씨	024850
TPC	048770
코메론	049430
블루베리 NFT	044480
삼화네트웍스	046390
성광벤드	014620
유라테크	048430
삼현철강	017480
오픈베이스	049480
KCI	036670
라온시큐어	042510
오로라	039830
금화피에스시	036190
코다코	046070
인바디	041830
고려제약	014570
크린앤사이언스	045520
포스코 ICT	022100
동원F&B	049770
KD	044180
이글벳	044960
아즈텍WB	032080
두산중공업	034020
오리콤	010470
위닉스	044340
상지카일룸	042940
한국내화	010040
엔피케이	048830
삼천당제약	000250
에이치케이	044780
정원엔시스	045510
한양이엔지	045100
누리플렉스	040160
에쎈테크	043340
국순당	043650
엘컴텍	037950
이오테크닉스	039030
상상인	038540
서울제약	018680
나노엔텍	039860
파나진	046210
오공	045060
솔고바이오	043100
비츠로테크	042370
코아시아	045970
정상제이엘에스	040420
진양제약	007370
넥슨지티	041140
지니뮤직	043610
진성티이씨	036890
현대에이치티	039010
삼아제약	009300
파루	043200
에스씨디	042110
한국정보공학	039740
디오	039840
네오위즈홀딩스	042420
다산네트웍스	039560
바이오스마트	038460
에이아이비트	039230
우리기술	032820
안국약품	001540
골드퍼시픽	038530
세중	039310
우리기술투자	041190
HRS	036640
에스에이엠티	031330
NICE평가정보	030190
위즈코프	038620
이건홀딩스	039020
파인디지털	038950
나이스정보통신	036800
SG&G	040610
아이에이	038880
에스넷	038680
에스엠	041510
쌍용정보통신	010280
쎄니트	037760
대성미생물	036480
에코플라스틱	038110
케이엠더블유	032500
화성밸브	039610
경남스틸	039240
마크로젠	038290
희림	037440
레드캡투어	038390
솔브레인홀딩스	036830
에프에스티	036810
코맥스	036690
EG	037370
감성코퍼레이션	036620
성도이엔지	037350
제일테크노스	038010
한세예스24홀딩스	016450
무림SP	001810
세종텔레콤	036630
심텍홀딩스	036710
파세코	037070
SGC이테크건설	016250
영풍정밀	036560
서희건설	035890
주성엔지니어링	036930
케이티알파	036030
대성홀딩스	016710
다우데이타	032190
동진쎄미켐	005290
선광	003100
제이에스티나	026040
지더블유바이텍	036180
클라우드에어	036170
한국팩키지	037230
삼지전자	037460
우리조명	037400
대원제약	003220
한국가스공사	036460
SK머티리얼즈	036490
네패스	033640
인지디스플레	037330
위지트	036090
유니셈	036200
유성티엔에스	024800
코리아나	027050
SCI평가정보	036120
골드앤에스	035290
서울전자통신	027040
대성창투	027830
예림당	036000
미래아이앤지	007120
CJ ENM	035760
이지홀딩스	035810
기산텔레콤	035460
화천기공	000850
팜스코	036580
케이티앤지	033780
한국조선해양	009540
디씨엠	024090
바른손이앤에이	035620
솔본	035610
시공테크	020710
신일제약	012790
조아제약	034940
AK홀딩스	006840
대한유화	006650
백산	035150
지투알	035000
체시스	033250
인성정보	033230
인터파크	035080
동국산업	005160
매일홀딩스	005990
해성산업	034810
자화전자	033240
케이티	030200
하이트론씨스템즈	019490
녹십자셀	031390
디에스티	033430
제일기획	030000
한국정보통신	025770
파라텍	033540
동성화인텍	033500
디피씨	026890
케이씨	029460
드래곤플라이	030350
엠케이전자	033160
엠투엔	033310
제이씨현시스템	033320
포스코엠텍	009520
스페코	013810
좋은사람들	033340
대원화성	024890
모아텍	033200
코웰패션	033290
코콤	015710
E1	017940
SK가스	018670
다우기술	023590
영보화학	014440
제룡전기	033100
제이엠아이	033050
코너스톤네트웍스	033110
디지틀조선	033130
바이온	032980
와이지-원	019210
특수건설	026150
아이즈비전	031310
SKC	011790
동일기연	032960
소프트센	032680
원익	032940
원풍물산	008290
웰바이오텍	010600
한국주강	025890
삼진	032750
비트컴퓨터	032850
휴먼엔	032860
엠젠플러스	032790
판타지오	032800
덕양산업	024900
부산도시가스	015350
에쓰씨엔지니어링	023960
인지컨트롤스	023800
유비케어	032620
피델릭스	032580
TJ미디어	032540
휴맥스홀딩스	028080
삼일	032280
경동인베스트	012320
뉴인텍	012340
에스제이엠홀딩스	025530
오스템	031510
콤텍시스템	031820
엔에스엔	031860
피에스케이홀딩스	031980
SK하이닉스	000660
MH에탄올	023150
국동	005320
동남합성	023450
삼성엔지니어링	028050
신도리코	029530
예스코홀딩스	015360
퍼시스	016800
세보엠이씨	011560
한일단조	024740
WISCOM	024070
동원수산	030720
미래산업	025560
KTB투자증권	030210
양지사	030960
HDC	012630
광전자	017900
한국단자공업	025540
원익홀딩스	030530
한글과컴퓨터	030520
메이슨캐피탈	021880
대호특수강	021040
릭스솔루션	029480
디아이	003160
신성이엔지	011930
티에이치엔	019180
한온시스템	018880
에이치엘비	028300
팜스토리	027710
세원정공	021820
세하	027970
영풍제지	006740
유니온	000910
키다리스튜디오	020120
한섬	020000
현대엘리베이터	017800
환인제약	016580
삼보판지	023600
삼목에스폼	018310
에이스침대	003800
원익큐브	014190
계룡건설산업	013580
서원	021050
에스원	012750
태경산업	015890
리드코프	012700
유니슨	018000
아난티	025980
광진실업	026910
인터엠	017250
신대양제지	016590
와이투솔루션	011690
남해화학	025860
동원금속	018500
성안	011300
성우하이텍	015750
대신정보통신	020180
서부T&D	006730
HMM	011200
경인양행	012610
풀무원	017810
서울도시가스	017390
이구산업	025820
동신건설	025950
동화기업	025900
에넥스	011090
에이프로젠 MED	007460
제이준코스메틱	025620
한국카본	017960
신라에스지	025870
케이씨피드	025880
한탑	002680
한국선재	025550
대성엘텍	025440
시노펙스	025320
PN풍년	024940
삼천리자전거	024950
메디앙스	014100
KBI메탈	024840
경창산업	024910
대륙제관	004780
동원개발	013120
세원물산	024830
이화전기	024810
케이피에프	024880
KPX케미칼	025000
지코	010580
태평양물산	007980
KB오토시스	024120
신원종합개발	017000
흥구석유	024060
대한약품	023910
이화공영	001840
풍국주정	023900
대림제지	017650
대한광통신	010170
동일철강	023790
플레이위드	023770
한국캐피탈	023760
한일사료	005860
KC그린홀딩스	009440
문배철강	008420
웅진	016880
모베이스전자	012860
CNH	023460
국영지앤엠	006050
유진기업	023410
제일제강	023440
보성파워텍	006910
브이티지엠피	018290
태광	023160
오뚜기	007310
일정실업	008500
한라	014790
영신금속	007530
엘에스일렉트릭	010120
신라섬유	001000
원일특강	012620
서한	011370
대양금속	009190
이화산업	000760
동원시스템즈	014820
바른손	018700
부방	014470
삼성중공업	010140
모토닉	009680
화신	010690
대명소노시즌	007720
CBI	013720
대양제지	006580
유니크	011320
진로발효	018120
삼보산업	009620
푸드웰	005670
푸른저축은행	007330
피제이전자	006140
베뉴지	019010
엠에스씨	009780
삼화페인트공업	000390
경동나비엔	009450
대동금속	020400
광림	014200
대원산업	005710
큐캐피탈	016600
한국가구	004590
인피니티엔티	016670
중앙에너비스	000440
DB	012030
SGC에너지	005090
삼륭물산	014970
대림비앤코	005750
경동제약	011040
원풍	008370
네이처셀	007390
삼일기업공사	002290
일지테크	019540
한일화학	007770
한국알콜	017890
대주산업	003310
글로본	019660
대한해운	005880
메리츠증권	008560
세명전기	017510
휴니드테크놀러지스	005870
수산중공업	017550
에이티넘인베스트	021080
롯데케미칼	011170
대동기어	008830
세아베스틸	001430
호텔신라	008770
태경비케이	014580
화승코퍼레이션	013520
신흥	004080
화승인더스트리	006060
극동유화	014530
고려산업	002140
피에스텍	002230
대현	016090
케이비아이동국실업	001620
광명전기	017040
부산산업	011390
STX	011810
고려아연	010130
코센	009730
센트럴인사이트	012600
팜젠사이언스	004720
무림페이퍼	009200
현대차증권	001500
금비	008870
대동전자	008110
원림	005820
서흥	008490
성문전자	014910
넥스트사이언스	003580
일진홀딩스	015860
대영포장	014160
영화금속	012280
신풍제약	019170
동성제약	002210
카스	016920
아센디오	012170
한올바이오파마	009420
하이록코리아	013030
유니켐	011330
대창	012800
국보	001140
일성건설	013360
까뮤이앤씨	013700
보락	002760
선도전기	007610
씨아이테크	004920
광동제약	009290
갤럭시아에스엠	011420
남성	004270
KISCO홀딩스	001940
태영건설	009410
한국특강	007280
한솔로지스틱스	009180
삼양통상	002170
SK텔레콤	017670
진양폴리우레탄	010640
미창석유공업	003650
삼익THK	004380
미원상사	002840
서연	007860
SBI인베스트먼트	019550
세우글로벌	013000
현대모비스	012330
쎌마테라퓨틱스	015540
KG케미칼	001390
대우부품	009320
현대해상	001450
현대그린푸드	005440
한국전력공사	015760
국도화학	007690
녹십자	006280
SIMPAC	009160
윌비스	008600
대창단조	015230
사조산업	007160
한익스프레스	014130
사조동아원	008040
경인전자	009140
무림P&P	009580
인디에프	014990
한솔피엔에스	010420
디와이	013570
방림	003610
큐로	015590
한솔케미칼	014680
퍼스텍	010820
리더스 기술투자	019570
엠벤처투자	019590
동원산업	006040
대덕	008060
한성기업	003680
모헨즈	006920
이스타코	015020
태림포장	011280
아세아제지	002310
화천기계	010660
CJ씨푸드	011150
SHD	001770
조일알미늄	018470
에스엘	005850
영원무역홀딩스	009970
더존비즈온	012510
보령제약	003850
폴루스바이오팜	007630
이건산업	008250
모나리자	012690
대구백화점	006370
우성사료	006980
유성기업	002920
한일철강	002220
삼익악기	002450
화성산업	002460
디티알오토모티브	007340
보해양조	000890
상상인증권	001290
혜인	003010
금강공업	014280
엔케이물산	009810
율촌화학	008730
신원	009270
동방	004140
한국쉘석유	002960
부광약품	003000
풍산홀딩스	005810
부국증권	001270
계양전기	012200
한솔테크닉스	004710
DB금융투자	016610
한미사이언스	008930
삼진제약	005500
포스코	005490
범양건영	002410
파미셀	005690
동국제강	001230
대원전선	006340
이수화학	005950
삼성증권	016360
삼영무역	002810
한양증권	001750
금호석유화학	011780
유안타증권	003470
제일파마홀딩스	002620
에이엔피	015260
한창제지	009460
넥센	005720
삼성공조	006660
세방전지	004490
진원생명과학	011000
참엔지니어링	009310
한국프랜지공업	010100
코스모신소재	005070
덕성	004830
신영증권	001720
유진증권	001200
유화증권	003460
한신기계공업	011700
코스모화학	005420
가온전선	000500
S-Oil	010950
한화에어로스페이스	012450
삼화전자공업	011230
현대제철	004020
써니전자	004770
현대비앤지스틸	004560
사조오양	006090
한화투자증권	003530
삼화전기	009470
SK증권	001510
평화홀딩스	010770
일신석재	007110
KG동부제철	016380
아이에스동서	010780
SH에너지화학	002360
대한화섬	003830
코리아써키트	007810
신세계	004170
OCI	010060
삼일제약	000520
인스코비	006490
일성신약	003120
현대건설	000720
TCC스틸	002710
에이프로젠제약	003060
F&F 홀딩스	007700
아남전자	008700
현대미포조선	010620
GS건설	006360
삼아알미늄	006110
한국전자홀딩스	006200
삼성SDI	006400
삼성전기	009150
동부건설	005960
케이씨티시	009070
코오롱글로벌	003070
빙그레	005180
녹십자홀딩스	005250
조선내화	000480
현대약품	004310
남양유업	003920
남선알미늄	008350
한국화장품제조	003350
DL건설	001880
현대코퍼레이션	011760
LS	006260
SK네트웍스	001740
경농	002100
티웨이홀딩스	004870
동방아그로	007590
송원산업	004430
진흥기업	002780
한국석유공업	004090
천일고속	000650
대원강업	000430
만호제강	001080
조광피혁	004700
세방	004360
동양철관	008970
대유에이텍	002880
남광토건	001260
삼영전자공업	005680
신영와코루	005800
오리엔트바이오	002630
조비	001550
한국공항	005430
조광페인트	004910
삼천리	004690
성보화학	003080
조흥	002600
금양	001570
사조대림	003960
비비안	002070
SNT중공업	003570
한신공영	004960
농심	004370
삼영화학공업	003720
성신양회	004980
신라교역	004970
신풍제지	002870
종근당홀딩스	001630
크라운해태홀딩스	005740
한독	002390
SG글로벌	001380
SK디스커버리	006120
샘표	007540
흥아해운	003280
GS글로벌	001250
금호건설	002990
삼부토건	001470
삼화콘덴서공업	001820
페이퍼코리아	001020
동양	001520
한화	000880
JW중외제약	001060
영풍	000670
백광산업	001340
성창기업지주	000180
한창	005110
삼화왕관	004450
KR모터스	000040
고려제강	002240
태양금속공업	004100
SUN&L	002820
DRB동일	004840
넥센타이어	002350
SG세계물산	004060
롯데정밀화학	004000
동화약품	000020
DL	000210
LX인터내셔널	001120
국제약품	002720
태광산업	003240
부산주공	005030
한일현대시멘트	006390
CS홀딩스	000590
신성통상	005390
DB하이텍	000990
대림통상	006570
유유제약	000220
강남제비스코	000860
대신증권	003540
NH투자증권	005940
미래에셋증권	006800
신일전자	002700
삼성제약	001360
삼성화재해상보험	000810
삼양식품	003230
한화손해보험	000370
NI스틸	008260
일동홀딩스	000230
대동	000490
오리온홀딩스	001800
깨끗한나라	004540
태원물산	001420
코오롱	002020
삼성전자	005930
대유플러스	000300
BYC	001460
쌍용자동차	003620
쌍용씨앤이	003410
SPC삼립	005610
흥국화재	000540
우리종금	010050
일양약품	007570
한진	002320
한국수출포장공업	002200
현대자동차	005380
모나미	005360
한화솔루션	009830
아세아	002030
카프로	006380
롯데지주	004990
대한방직	001070
서울식품공업	004410
아이에이치큐	003560
LS네트웍스	000680
금호전기	001210
하이트진로홀딩스	000140
노루홀딩스	000320
기아	000270
효성	004800
CJ	001040
두산	000150
휴스틸	005010
DB손해보험	005830
TYM	002900
대웅	003090
진양산업	003780
영진약품	003520
케이씨씨	002380
롯데칠성음료	005300
일신방직	003200
롯데푸드	002270
아모레퍼시픽그룹	002790
제주은행	006220
한솔홀딩스	004150
벽산	007210
롯데손해보험	000400
대한제분	001130
대상	001680
LG	003550
동아쏘시오홀딩스	000640
코리안리	003690
한국주철관공업	000970
한일홀딩스	003300
엔피씨	004250
세아제강지주	003030
대한전선	001440
대한제당	001790
삼양홀딩스	000070
세기상사	002420
한국앤컴퍼니	000240
전방	000950
대한항공	003490
디아이동일	001530
유한양행	000100
CJ대한통운	000120
메리츠화재	000060
경방	000050
유수홀딩스	000700
한진중공업홀딩스	003480
